gtime,gallons,price,octane,station,location,mpergal,mpertank
2017-12-18 00:00:00,16.1,0.0,0.0,MiniDealer,Houston,,
2018-01-09 09:30:00,12.888,30.92,89.0,Valero,Sugarland,29.09683426443203,375.0
2018-01-29 19:37:00,14.179,34.02,89.0,Valero,Sugarland,29.127583045348754,413.0
2018-02-14 09:35:00,13.318,29.95,87.0,Valero,Sugarland,31.160834960204237,415.0
2018-03-04 12:09:00,12.875,27.28,87.0,Costco,Houston,28.73786407766991,370.0
2018-03-19 08:57:00,14.812000000000001,32.57,87.0,Costco,Houston,27.54523359438293,408.0
2018-04-05 11:44:00,13.903,31.96,91.0,Costco,Houston,29.202330432280803,406.0
2018-04-24 19:15:00,14.379,34.5,87.0,Costco,Houston,30.25245149175882,435.0
2018-05-22 22:14:00,14.44,38.0,87.0,Exxon,Sugarland,29.639889196675906,428.0
2018-06-12 20:11:00,12.451,32.36,87.0,Costco,Houston,29.31491446470163,365.0
2018-07-09 12:31:00,14.529000000000002,36.31,87.0,Costco,Houston,30.76605409869915,447.0
2018-08-03 12:01:00,14.945,38.09,87.0,Valer,Sugarland,29.441284710605554,440.0
2018-08-23 10:25:00,14.48,35.32,87.0,Costco,Houston,28.660220994475136,415.0
2018-09-09 11:28:00,14.788,36.07,87.0,Costco,Houston,29.415742493913985,435.0
2018-09-28 10:25:00,14.695,35.99,87.0,Costco,Houston,30.962912555290913,455.0
2018-10-18 10:20:00,14.834,37.66,87.0,Valero,Sugarland,,
